Date,Matched Keywords,User,Source,Followers,Friends,Favorite,Tweet,predTweet,CleanedTweet
8/4/2020,Trump,aodanwrenn,Twitter for Android,771,783,0,"It's quite clear that Trump is doing too much damage through Twitter. It is long gone past time that @Twitter suspends his account. Far too much hate being spread. Calling Dr Bird ""pathetic"" is more of it. He is a horrible man.
 #closetrumpstwitter",it quite clear that trump doing too much damage through twitter it long gone past time that suspends his account far too much hate being spread calling dr birx pathetic more of it he horrible man closetrumpstwitter,"['quit', 'clear', 'trump', 'much', 'damag', 'twitter', 'long', 'gone', 'past', 'time', 'suspend', 'account', 'much', 'hate', 'spread', 'call', 'bird', 'pathet', 'horribl', 'closetrumpstwit']"
8/4/2020,Trump,rareawards,Twitter for iPhone,60,265,0,@maggieNYT Personally I’m more worried about FX Trump isn’t worried about the Chinese he’s worried it will give him more bad press. Trump should just resign and save us all more grief. He has done his utmost to destroy the government that he clearly,personally im more worried about fox trump isnt worried about the chinese hes worried it will give him more bad press trump should just resign and save all more grief he has done his utmost destroy the government that he clearly hates,"['person', 'worri', 'trump', 'isnt', 'worri', 'chines', 'worri', 'give', 'press', 'trump', 'resign', 'save', 'grief', 'done', 'utmost', 'destroy', 'govern', 'clearli', 'hate']"
8/4/2020,Trump,1979Manhattan,Twitter Web App,166,667,0,@OrinKerr I thought he did very well. He gave Trump the rope to hang himself and Trump duly obliged.,thought he did very well he gave trump the rope hang himself and trump duly obliged,"['thought', 'well', 'trump', 'rope', 'hang', 'trump', 'duli', 'oblig']"
8/4/2020,Trump,johnnytrainer,Twitter for iPhone,247,1135,0,"@BetteMidler Did you read Mary Trump’s book? Well, well, well. He’s been a monster since childhood.",did you read mary trumps book well well well hes been monster since childhood,"['read', 'mari', 'trump', 'book', 'well', 'well', 'well', 'monster', 'sinc', 'childhood']"
8/4/2020,Trump,rbaham,Twitter for iPad,15,2,0,@realDonaldTrump And if the teachers get sick. No worry. They have TRUMP ARE. A health plan so strong people can’t stop talking about it http://t.co/6SNP8ff5f,and if the teachers get sick no worry they have trump care health plan so strong people cant talking about it,"['teacher', 'sick', 'worri', 'trump', 'care', 'health', 'plan', 'strong', 'peopl', 'cant', 'stop', 'talk']"
8/4/2020,Biden,zmbywoof10,Twitter Web App,190,549,0,Joe Bien has lied about being arrested at least three times. Who does t... http://t.co/OAmHPD8wsw via @YouTube,joe biden has lied about being arrested least three times who does via,"['bien', 'lie', 'arrest', 'least', 'three', 'time']"
8/4/2020,Trump,anne_goldgar,Twitter for iPad,4551,3009,0,"@GuySechrist Of course you do. But Trump thinks the number of cases is just about testing, and that if you don't test, you don't have cases. ""Low down on the testing!"" he says he told his people (Tulsa speech) because there would then be fewer cases.",of course you do but trump thinks the number of cases just about testing and that if you do not test you do not have cases slow down the testing he says he told his people tulsa speech because there would then be fewer cases,"['cours', 'trump', 'think', 'number', 'case', 'test', 'test', 'case', 'slow', 'test', 'say', 'told', 'peopl', 'tulsa', 'speech', 'would', 'fewer', 'case']"
8/4/2020,Trump,NotATweeter16,Twitter Web App,2489,2488,0,"@sarahcpr ""Trump brings comfort to dying Americans by saying hey, don’t worry, people in other countries are dying too""

Trump: http://t.co/7bAObwxLTE",trump brings comfort dying americans by saying hey do not worry people in other countries are dying too trump,"['trump', 'bring', 'comfort', 'die', 'american', 'say', 'worri', 'peopl', 'countri', 'die', 'trump']"
8/4/2020,Trump,miamivandynyu,Twitter for iPhone,2162,4195,0,"A few sane voices amongst journalists start to recognize the damage they are doing with their sole obsession on destroying Trump: @MSBC producer resigns from network with scathing letter: They block 'diversity of thought' and 'amplify fringe voices'

http://t.co/K0ol5ou9Nb",few sane voices amongst journalists start recognize the damage they are doing with their sole obsession destroying trump producer resigns from network with scathing letter they block diversity of thought and amplify fringe voices,"['sane', 'voic', 'amongst', 'journalist', 'start', 'recogn', 'damag', 'sole', 'obsess', 'destroy', 'trump', 'produc', 'resign', 'network', 'scath', 'letter', 'block', 'divers', 'thought', 'amplifi', 'fring', 'voic']"
8/4/2020,Trump,JohnDal46057816,Twitter Web App,0,11,0,"Trump want a piece of any sale of Tie-To! A subversive app sending secret code to Chi-na! No Trump is obsessed that Sarah Cooper moves her mouth to his exact words, and it is utterly Hysterical!",trump want piece of any sale of tiktok subversive application sending secret code china no trump obsessed that sarah cooper moves her mouth his exact words and it utterly hysterical,"['trump', 'want', 'piec', 'sale', 'tiktok', 'subvers', 'applic', 'send', 'secret', 'code', 'china', 'trump', 'obsess', 'sarah', 'cooper', 'move', 'mouth', 'exact', 'word', 'utterli', 'hyster']"
8/4/2020,Trump,Sentinel0764,Twitter Web App,12,61,0,"Trump Vaccine Adviser Wars That Scrutiny Of Him Will Delay Arrival Of Coronavirus Vaccine - BuzzFeed News http://t.co/R4GFTtsJwy via @GoogleNews 
This is not Star Wars, you are not our only hope... let the scrutiny begin.",trump vaccine adviser warns that scrutiny of him will delay arrival of coronavirus vaccine buzzfeed news via this not star wars you are not our only hope let the scrutiny begin,"['trump', 'vaccin', 'advis', 'warn', 'scrutini', 'delay', 'arriv', 'coronaviru', 'vaccin', 'buzz', 'news', 'star', 'war', 'hope', 'scrutini', 'begin']"
8/4/2020,Trump,FreddieSJohnson,Twitter Web App,1972,4185,27,"@TheClearCider After watching this, I would not entrust trump to operate a taco truck.",after watching this would not entrust trump operate taco truck,"['watch', 'would', 'entrust', 'trump', 'oper', 'taco', 'truck']"
8/4/2020,Trump,xxdr_zombiexx,Twitter Web App,8679,7129,1,The trump admin is doubtlessly to blame. http://t.co/l0oYsPu5L,the trump admin doubtlessly blame,"['trump', 'admin', 'doubtlessli', 'blame']"
8/4/2020,Biden,davidbrod517,Twitter for iPhone,1507,603,0,"See Joe Bien son in law, good no reporting...... http://t.co/abRoKNf5we",see joe biden son in law good no reporting,"['bien', 'good', 'report']"
8/4/2020,Trump,rsgallo,Twitter Web App,2782,4128,1,@PamNCBennett Trump the Moron. He can't even turn the papers right-side up!,trump the moron he cannot even turn the papers rightside up,"['trump', 'moron', 'even', 'turn', 'paper', 'rightsiz']"
8/4/2020,Trump,mirazyrin,Twitter for iPhone,1011,404,3,"low observe the body language though. the interviewer looks relaxed, wagging his foot and is completely in control of the situation while Trump on the other hand is leaning forward and acts like a nervous servant trying to convince his master that he hasn’t done anything wrong. http://t.co/dxdYCniVFw",laugh out loud observe the body language though the interviewer looks relaxed wagging his foot and completely in control of the situation while trump the other hand leaning forward and acts like nervous servant trying convince his master that he hasnt done anything wrong,"['laugh', 'loud', 'observ', 'bodi', 'languag', 'though', 'interview', 'look', 'relax', 'wag', 'foot', 'complet', 'control', 'situat', 'trump', 'hand', 'lean', 'forward', 'act', 'like', 'nervou', 'servant', 'tri', 'convinc', 'master', 'hasnt', 'done', 'anyth', 'wrong']"
8/4/2020,Trump,tash_susan,Twitter for Android,54,56,0,"Th huh, it's about time that we know the truth. Trump is a criminal and if they prove this case he will be locked up. It's funny that he chanted ""LOC HRE Up"" so many times. This is why karma will slap him and Jara. http://t.co/rsQetfcOEg",uh huh it about time that we know the truth trump criminal and if they prove this case he will be locked up it funny that he chanted lock her up so many times this why karma will slap him and jarad,"['time', 'know', 'truth', 'trump', 'crimin', 'prove', 'case', 'lock', 'funni', 'chant', 'lock', 'mani', 'time', 'karma', 'slap', 'jara']"
8/4/2020,Trump,profile767,Twitter Web App,13,59,0,@davidkurten Exactly!! That's what Trump said but of course he got castigated for saying it! If there is a second wave it will be seasonal flu but of course MM and gov will relabel it Coronavirus to perpetuate the fear factor!,exactly that what trump said but of course he got castigated for saying it if there second wave it will be seasonal flu but of course msm and gov will relabel it coronavirus perpetuate the fear factor,"['exactli', 'trump', 'said', 'cours', 'castig', 'say', 'second', 'wave', 'season', 'cours', 'relabel', 'coronaviru', 'perpetu', 'fear', 'factor']"
8/4/2020,Trump,DanBurnsCisco,Twitter for iPad,83,93,0,"Threatening an intentionally inaccurate census, Trump think it will help the OP....but To, A, A & Ff will be the states hurt the most by undercounts. 3 of 4 are ‘red states’ will be hurt by billions in federal funds & fewer congressional seats. Smart! http://t.co/z4C14In4p1",threatening an intentionally inaccurate census trump think it will help the gop but tx ca az and fl will be the states hurt the most by undercounts of are red states will be hurt by billions in federal funds and fewer congressional seats smart,"['threaten', 'intent', 'inaccur', 'censu', 'trump', 'think', 'help', 'state', 'hurt', 'undercount', 'state', 'hurt', 'billion', 'feder', 'fund', 'fewer', 'congression', 'seat', 'smart']"
8/4/2020,Trump,judecio74,Twitter for Android,1,22,0,@realDonaldTrump Oh shut up. Everything u opened have been disaster Trump,oh shut up everything you opened have been disaster trump,"['shut', 'everyth', 'open', 'disast', 'trump']"
8/4/2020,Trump,paulmoment,Twitter for Android,1554,553,2,"Trump is a soggy old whining idiot who never got disciplined once in his spoiled life - and it shows.

Trump Evangelicals and Republicans should be nauseous from shame for supporting this glob, and it's horrifying for all of us that they're not.

#EmptyThePews http://t.co/p42kyuiepc http://t.co/0zVYm5hTDZ",trump soggy old whining idiot who never got disciplined once in his spoiled life and it shows trump evangelicals and republicans should be nauseous from shame for supporting this glob and it horrifying for all of that they are not emptythepews,"['trump', 'soggi', 'whine', 'idiot', 'never', 'disciplin', 'spoil', 'life', 'show', 'trump', 'evangel', 'republican', 'nauseou', 'shame', 'support', 'glob', 'horrifi', 'emptythepew']"
8/4/2020,Biden,USLisaLaw,Twitter for iPhone,2587,3782,5,"@johncardillo Bien has The Communist Party endorsement 😳

http://t.co/y1enCCcy8j",biden has the communist party endorsement,"['bien', 'communist', 'parti', 'endors']"
8/4/2020,Trump,VioletDetorres,Twitter Web App,381,725,0,"Trump: If you look at this chart, we have way less deaths than other countries..
Interviewer: Sir, that's a chart showing the cognitive decline for those with dementia/Alzheimers
Trump: ( stutters) What's that? Kayleigh!! Where are those charts?",trump if you look this chart we have way less deaths than other countries interviewer sir that chart showing the cognitive decline for those with dementiaalzheimers trump stutters what that kayleigh where are those charts,"['trump', 'look', 'chart', 'le', 'death', 'countri', 'interview', 'chart', 'show', 'cognit', 'declin', 'dementialzheim', 'trump', 'stutter', 'kayleigh', 'chart']"
8/5/2020,Biden,JosephMazzella2,Twitter for Android,9,42,0,"@ASavageNation They can get cutout boards of people at the duc convention just like they do at MB games so they won't look so bad. Get one for sleepy,  creepy,  crooked bien.",they can get cutout boards of people the dnc convention just like they do mlb games so they will not look so bad get one for sleepy creepy crooked biden,"['cutout', 'board', 'peopl', 'convent', 'like', 'game', 'look', 'sleepi', 'creepi', 'crook', 'bien']"
8/5/2020,Trump,Christy85286792,Twitter for iPhone,30,50,0,"Trump has abandoned many Republican principles. These are basic, foundational things: importance of checks and balances, truth, and intellectual consistency. America’s unique system of constitutional government must be preserved. Trump is destroying it. http://t.co/kSrJCRyNxy http://t.co/1MpHZG9sir",trump has abandoned many republican principles these are basic foundational things importance of checks and balances truth and intellectual consistency americas unique system of constitutional government must be preserved trump destroying it,"['trump', 'abandon', 'mani', 'republican', 'principl', 'basic', 'foundat', 'thing', 'import', 'check', 'balanc', 'truth', 'intellectu', 'consist', 'america', 'uniqu', 'system', 'constitut', 'govern', 'must', 'preserv', 'trump', 'destroy']"
8/5/2020,Trump,GeorgeMStebbin3,Twitter Web App,4,46,0,"@realDonaldTrump TRUMP CLAIMS ARE MRE
FAE, FALSE AND FRAUD UNO AMERICA AND NATIONS  PEOPLE !!!",trump claims are more fake false and fraud unto america and nations people,"['trump', 'claim', 'fake', 'fals', 'fraud', 'unto', 'america', 'nation', 'peopl']"
8/5/2020,Biden,Mike___Kilo,Twitter Web App,1334,2309,4,The media's takeaway: Don't ask Bien any more questions like this. Just pelt him with cotton balls. http://t.co/Shop9ErUhL,the media takeaway do not ask biden any more questions like this just pelt him with cotton balls,"['medium', 'takeaway', 'bien', 'question', 'like', 'pelt', 'cotton', 'ball']"
8/5/2020,Trump,allen40_allen,Twitter Web App,839,1404,0,She doesn't have a heart she has a cash register where it should be...... I am so looking forward to President Trump getting in again then her prophesy will come true.... http://t.co/JGgZICXe8p,she does not have heart she has cash register where it should be so looking forward president trump getting in again then her prophesy will come true,"['heart', 'cash', 'regist', 'look', 'forward', 'presid', 'trump', 'get', 'prophesi', 'come', 'true']"
8/5/2020,Trump,Phantom_Delight,Twitter Web App,3456,3101,1,"@sonofphysics_ I see in President Trump a medium of BALANCE for this planet.  He comes with a powerful birth chart, is (unlike the Gems & Prez Obama - who has such gud presentation skills but MO is bad at real government) very good at real govt & is MO an",see in president trump medium of balance for this planet he comes with powerful birth chart unlike the dems and prez obama who has such good presentation skills but imo bad real government very good real govt and imo an excellent commander in chief earth,"['presid', 'trump', 'medium', 'balanc', 'planet', 'come', 'power', 'birth', 'chart', 'unlik', 'gem', 'prez', 'obama', 'good', 'present', 'skill', 'real', 'govern', 'good', 'real', 'govt', 'excel', 'command', 'chief', 'earth']"
8/5/2020,Trump,MarlonDDeleon,Twitter for Android,980,3286,1,"I dont want to ""defeat Trump"" in November. 

He isn't the focus or the goal.

Compassion, progress, and equity are some of my goals and aspirations. I wish they were more widespread.",do not want defeat trump in november he not the focus or the goal compassion progress and equity are some of my goals and aspirations wish they were more widespread,"['want', 'defeat', 'trump', 'novemb', 'focu', 'goal', 'compass', 'progress', 'equiti', 'goal', 'aspir', 'wish', 'widespread']"
8/5/2020,Trump,thedaveabbitt,Twitter Web App,2845,828,2,"@realDonaldTrump ""The pollsters and the pundits cover elections as though they were horse races. But history tells us voters are not fooled by the tricks of the campaign.”

Bad news for the Trickster. Good news for the rest of us.

http://t.co/titJYyAAF",the pollsters and the pundits cover elections as though they were horse races but history tells voters are not fooled by the tricks of the campaign bad news for the trickster good news for the rest of,"['pollster', 'pundit', 'cover', 'elect', 'though', 'hors', 'race', 'histori', 'tell', 'voter', 'fool', 'trick', 'campaign', 'news', 'trickster', 'good', 'news', 'rest']"
8/5/2020,Trump,biagas_paul,Twitter for Android,0,30,1,@IAmDawnM TRUMP FAE PRESIDENT,trump fake president,"['trump', 'fake', 'presid']"
8/5/2020,Trump,Phyllis24681,Twitter for iPhone,6,26,0,@CNNValencia Trump is a fake president,trump fake president,"['trump', 'fake', 'presid']"
8/5/2020,Trump,e_whittler,Twitter Web App,10051,9122,150,"I worked on a Crash Trunk for a week. Dirty diapers, smelly beer and rotten left-over pizza. Every time the hopper compressed the harvest, black water appeared. Dark, nasty, and so very funky. That funky trashy water reminds me of Trump and the republicans. Rotten. Stinky. Funke.",worked trash truck for week dirty diapers smelly beer and rotten leftover pizza every time the hopper compressed the harvest black water appeared dark nasty and so very funky that funky trashy water reminds me of trump and the republicans rotten stinky funky,"['work', 'trash', 'truck', 'week', 'dirti', 'diaper', 'smelli', 'beer', 'rotten', 'leftov', 'pizza', 'everi', 'time', 'hopper', 'compress', 'harvest', 'black', 'water', 'appear', 'dark', 'nasti', 'funki', 'funki', 'trashi', 'water', 'remind', 'trump', 'republican', 'rotten', 'stinki', 'funki']"
8/5/2020,Biden,StoicMDJ,Twitter for iPhone,3329,129,4,"At some point the NC is gonna have to ‘fess up about Bien and admit the emperor has no clothes...

Sorry for the appalling visual.",some point the dnc gonna have fess up about biden and admit the emperor has no clothes sorry for the appalling visual,"['point', 'fe', 'bien', 'admit', 'emperor', 'cloth', 'sorri', 'appal', 'visual']"
8/5/2020,Trump,scooze007,Twitter for iPad,93,11,1,@funder Trump don’t tell you that.,trump do not tell you that,"['trump', 'tell']"
8/5/2020,Trump,BillSpalding3,Twitter for iPhone,76,724,1,@MJHtv23 “Trump wins 2nd term.”,trump wins nd term,"['trump', 'win', 'term']"
8/5/2020,Trump,jeanie31199,Twitter for iPhone,8291,8232,1,Trump is the hoax. http://t.co/sibb6A6P7,trump the hoax,"['trump', 'hoax']"
8/5/2020,Trump,NikkiUSA7,Twitter for iPhone,1183,1613,0,My yearly attendance at the hall of POTS at Disney was today. Everyone clapped for Trump. That’s never happened before. Weird.,my yearly attendance the hall of potus disney was today everyone clapped for trump thats never happened before weird,"['yearli', 'attend', 'hall', 'potu', 'disney', 'today', 'everyon', 'clap', 'trump', 'that', 'never', 'happen', 'weird']"
8/5/2020,Trump,Sparmannarcisse,Twitter Web App,2143,838,0,"LIVE: President Trump News Conference | 5:30pm Eastern"" YouTube http://t.co/HqGb2knuny",live president trump news conference eastern youtube,"['live', 'presid', 'trump', 'news', 'confer', 'eastern', 'youtub']"
8/5/2020,Trump,TakeDaCity,Twitter for iPhone,67,93,0,"THIS IDIOT In WORRIED ABOUT THE NBA WHEN He SHOULD By MRE CONCERNED ABOUT CLEANSING IS SOL Of LL THE HAT THAT RESIDES In IM!!!  President Trump Lips 'Disgraceful' NBA Kneelers, Don Rivers Fires Back http://t.co/res0grcuxD via @TM",this idiot worried about the nba when he should be more concerned about cleansing his soul of all the hate that resides in him president trump rips disgraceful nba kneelers doc rivers fires back via,"['idiot', 'worri', 'concern', 'cleans', 'soul', 'hate', 'resid', 'presid', 'trump', 'rip', 'disgrac', 'kneeler', 'river', 'fire', 'back']"
8/5/2020,Trump,marauderjoe,Twitter for Android,415,274,0,@DerekCressman Let's also l not overlook the connection and relationship Trump may have formed with executives at Kodak when Kodak appeared as a company on The Apprentice. #DrainTheSwamp,let also not overlook the connection and relationship trump may have formed with executives kodak when kodak appeared as company the apprentice draintheswamp,"['also', 'overlook', 'connect', 'relationship', 'trump', 'form', 'execut', 'kodak', 'kodak', 'appear', 'compani', 'apprentic', 'draintheswamp']"
8/5/2020,Trump,heidi_karinen,Twitter Web App,0,1,0,@SouptoNutz1 It must be perhaps like this how  his dad spoke to his older brother like Mary Trump wrote in her book?,it must be perhaps like this how his dad spoke his older brother like mary trump wrote in her book,"['must', 'perhap', 'like', 'spoke', 'older', 'brother', 'like', 'mari', 'trump', 'wrote', 'book']"
8/5/2020,Trump,TamaraFBacon,Twitter Web App,15,77,0,"@RadioFreeTom Why would they even *want* to ""get Trump off the debate hook""? Have you listened to the former VEEP lately? He can barely articulate a coherent answer to an innocuous question. His only hope in a debate is the sympathy factor.",why would they even want get trump off the debate hook have you listened the former veep lately he can barely articulate coherent answer an innocuous his only hope in debate the sympathy factor,"['would', 'even', 'want', 'trump', 'debat', 'hook', 'listen', 'former', 've', 'late', 'bare', 'articul', 'coher', 'answer', 'innocu', 'question', 'hope', 'debat', 'sympathi', 'factor']"
8/5/2020,Trump,jFred121896137,Twitter for iPhone,6,127,0,'We are no less American': Death pile up on Texas border #SmartNews no shame trump http://t.co/IMCNMvjgZo,we are no less american deaths pile up texas border smartnews no shame trump,"['le', 'american', 'death', 'pile', 'texa', 'border', 'smart', 'shame', 'trump']"
8/5/2020,Trump,nytpolitics,SocialFlow,489629,287,9,"President Trump signed into law the Great American Outdoors Act, a measure with broad bipartisan support that guarantees maximum annual funding for a federal program to acquire and preserve land for public use http://t.co/l64J3i3v5",president trump signed into law the great american outdoors act measure with broad bipartisan support that guarantees maximum annual funding for federal program acquire and preserve land for public,"['presid', 'trump', 'sign', 'great', 'american', 'outdoor', 'measur', 'broad', 'bipartisan', 'support', 'guarante', 'maximum', 'annual', 'fund', 'feder', 'program', 'acquir', 'preserv', 'land', 'public']"
